scale	item	tau
gsed	by1pdd040	40.95
gsed	by1pdd041	44.59
gsed	by1pdd043	48.36
gsed	by1pdd045	48.08
gsed	by1pdd046	49.99
gsed	by1pdd047	47.26
gsed	by1pdd048	48.49
gsed	by1pdd049	51.84
gsed	by1pdd050	52.98
gsed	by1pdd051	51.64
gsed	by1pdd052	51.64
gsed	by2mdd094	53.85
gsed	by2mdd097	53.17
gsed	by2mdd098	54.08
gsed	by2mdd099	55.3
gsed	by2mdd110	61.43
gsed	by2mdd114	59.81
gsed	by2mdd122	66.63
gsed	by2mdd123	60.87
gsed	by2mdd125	67.83
gsed	by2mdd126	69.64
gsed	by2mdd127	66.96
gsed	by2pdd062	49.99
gsed	by2pdd063	47.56
gsed	by2pdd066	50.94
gsed	by2pdd067	51.4
gsed	by2pdd078	66.13
gsed	by3cgd036	44.53
gsed	by3cgd047	51.08
gsed	by3cgd051	55.1
gsed	by3cgd055	54.08
gsed	by3cgd056	60.77
gsed	by3cgd058	59.5
gsed	by3cgd059	60.03
gsed	by3cgd060	63.58
gsed	by3cgd061	61.97
gsed	by3cgd063	63.65
gsed	by3cgd064	64.69
gsed	by3cgd065	65.24
gsed	by3cgd066	65.33
gsed	by3cgd067	65.8
gsed	by3cgd068	71.65
gsed	by3cgd073	69.7
gsed	by3exd020	58.2
gsed	by3exd023	61.87
gsed	by3exd025	63.41
gsed	by3exd027	63.05
gsed	by3exd029	66.35
gsed	by3exd031	66.5
gsed	by3exd034	69.48
gsed	by3exd035	69.49
gsed	by3exd037	71.84
gsed	by3exd039	70.77
gsed	by3fmd026	43.04
gsed	by3fmd028	47.01
gsed	by3fmd030	48.92
gsed	by3fmd031	53.17
gsed	by3fmd035	52.83
gsed	by3fmd038	60.87
gsed	by3fmd040	65.15
gsed	by3fmd041	66.09
gsed	by3fmd043	69.64
gsed	by3fmd044	66.08
gsed	by3fmd045	65.31
gsed	by3fmd049	70.1
gsed	by3fmd050	69.3
gsed	by3fmd052	67.76
gsed	by3fmd061	72.53
gsed	by3gmd025	36.49
gsed	by3gmd030	42.43
gsed	by3gmd031	42.5
gsed	by3gmd032	43.26
gsed	by3gmd033	45.06
gsed	by3gmd035	43.86
gsed	by3gmd037	45.18
gsed	by3gmd038	46.3
gsed	by3gmd039	46.6
gsed	by3gmd040	48.23
gsed	by3gmd041	50.65
gsed	by3gmd042	49.99
gsed	by3gmd043	51.7
gsed	by3gmd044	50.96
gsed	by3gmd045	50.82
gsed	by3gmd050	55.86
gsed	by3gmd059	66.57
gsed	by3red022	59.06
gsed	by3red023	59.4
gsed	by3red024	59.58
gsed	by3red025	61.68
gsed	by3red027	66.47
gsed	by3red028	66.49
gsed	by3red029	66.31
gsed	by3red031	67.79
gsed	by3red040	71.02
gsed	croclc001	29.5
gsed	croclc004	35.46
gsed	croclc006	31.65
gsed	croclc007	39.47
gsed	croclc008	39.03
gsed	croclc011	39.59
gsed	croclc014	35.27
gsed	croclc023	59.5
gsed	croclc024	59.81
gsed	croclc025	60.23
gsed	croclc026	59.44
gsed	croclc027	63.04
gsed	croclc028	60.73
gsed	croclc029	64.77
gsed	croclc031	65.38
gsed	croclc032	64.09
gsed	croclc034	61.6
gsed	croclc035	66.29
gsed	croclc037	63.71
gsed	croclc038	61.47
gsed	croclc039	66.93
gsed	croclc041	66.53
gsed	croclc042	65.69
gsed	croclc043	68.1
gsed	croclc044	67.32
gsed	croclc045	70.51
gsed	croclc046	65.69
gsed	croclc048	71.09
gsed	croclc049	67.22
gsed	croclc050	67.3
gsed	croclc051	68.04
gsed	cromoc002	36.31
gsed	cromoc005	38.05
gsed	cromoc006	32.5
gsed	cromoc007	29.59
gsed	cromoc008	28.79
gsed	cromoc009	38.17
gsed	cromoc010	36.49
gsed	cromoc011	39.63
gsed	cromoc012	37.13
gsed	cromoc015	43.86
gsed	cromoc016	41.59
gsed	cromoc017	48.68
gsed	cromoc018	46.59
gsed	cromoc019	43.04
gsed	cromoc021	49.99
gsed	cromoc022	44.53
gsed	cromoc025	55.69
gsed	cromoc029	57.53
gsed	cromoc030	57.27
gsed	cromoc031	60.76
gsed	cromoc033	64.23
gsed	cromoc034	63.71
gsed	cromoc035	62.76
gsed	cromoc036	69.87
gsed	cromoc039	69.34
gsed	crosec002	29.93
gsed	crosec003	34.38
gsed	crosec042	65.58
gsed	crosec049	68.08
gsed	crosec051	69.93
gsed	crosec059	68.52
gsed	ddicmm029	2.43
gsed	ddicmm030	11.44
gsed	ddicmm031	14.54
gsed	ddicmm033	36.65
gsed	ddicmm034	40.8
gsed	ddicmm036	42.8
gsed	ddicmm037	48.78
gsed	ddicmm039	51.11
gsed	ddicmm041	59.81
gsed	ddicmm042	56.96
gsed	ddicmm043	60.7
gsed	ddicmd044	60.61
gsed	ddicmm045	62.48
gsed	ddicmm046	60.92
gsed	ddicmm047	66.42
gsed	ddicmm048	65.69
gsed	ddicmd049	66.19
gsed	ddicmm050	68.98
gsed	ddicmd116	30.82
gsed	ddicmd136	44.84
gsed	ddicmd141	53.23
gsed	ddicmd148	55.89
gsed	ddifmd001	5.51
gsed	ddifmd002	14.59
gsed	ddifmm004	20.76
gsed	ddifmd007	36.71
gsed	ddifmd008	37.17
gsed	ddifmm009	33.92
gsed	ddifmd010	43.04
gsed	ddifmd011	44.53
gsed	ddifmm012	45.53
gsed	ddifmd013	53.17
gsed	ddifmm014	45.37
gsed	ddifmd015	57.53
gsed	ddifmm016	50.5
gsed	ddifmd017	60.87
gsed	ddifmd018	59.38
gsed	ddifmd020	66.97
gsed	ddifmd021	64.17
gsed	ddifmd022	65.61
gsed	ddifmd023	67.76
gsed	ddifmd024	68.32
gsed	ddifmd026	69.64
gsed	ddifmd027	68.46
gsed	ddigmd006	30.17
gsed	ddigmd055	26.14
gsed	ddigmd057	20
gsed	ddigmd058	28.02
gsed	ddigmm060	36.49
gsed	ddigmd061	33.2
gsed	ddigmd062	35.7
gsed	ddigmd063	40
gsed	ddigmm064	42.82
gsed	ddigmm065	43.86
gsed	ddigmm066	45.1
gsed	ddigmm067	45.1
gsed	ddigmd068	49.99
gsed	ddigmd069	53.93
gsed	ddigmd070	53.44
gsed	ddigmd072	59.11
gsed	ddigmm073	66.39
gsed	ddigmd074	65.97
gsed	ddigmd168	53.74
gsed	ddigmd268	60.93
gsed	denfmd002	35.26
gsed	denfmd003	31.33
gsed	denfmd004	33
gsed	denfmd005	34.5
gsed	denfmd006	32.75
gsed	denfmd007	32.37
gsed	denfmd008	31.18
gsed	denfmd009	35.72
gsed	denfmd010	37.11
gsed	denfmd011	35.51
gsed	denfmd013	44.97
gsed	denfmd014	44.53
gsed	denfmd015	49.74
gsed	denfmd017	53.17
gsed	denfmd018	57.32
gsed	denfmd019	60.87
gsed	denfmd023	69.64
gsed	denfmd024	73.31
gsed	denfmd025	72.53
gsed	dengmd008	36.49
gsed	dengmd009	31.74
gsed	dengmd010	38.51
gsed	dengmd011	34.13
gsed	dengmd012	43.86
gsed	dengmd013	43.74
gsed	dengmd014	49.12
gsed	dengmd015	47.06
gsed	dengmd016	51.38
gsed	dengmd017	53.74
gsed	dengmd019	56.54
gsed	dengmd022	62.01
gsed	dengmd024	67.64
gsed	denlgd006	30.82
gsed	denlgd007	32.04
gsed	denlgd008	39.29
gsed	denlgd009	34.54
gsed	denlgd014	46.89
gsed	denlgd015	49.26
gsed	denlgd016	51.45
gsed	denlgd019	59.81
gsed	denlgd023	64.84
gsed	denlgd024	67.87
gsed	denlgd025	68.23
gsed	denlgd028	71.39
gsed	denlgd030	72.12
gsed	denlgd033	73.71
gsed	denlgd036	74.23
gsed	densld009	45.67
gsed	densld010	46.45
gsed	densld011	43.64
gsed	dmcfmd002	35.32
gsed	dmcfmd003	36.99
gsed	dmcfmd004	36.6
gsed	dmcfmd005	37.81
gsed	dmcfmd006	43.04
gsed	dmcfmd007	37.07
gsed	dmcfmd009	47.21
gsed	dmcfmd010	48.14
gsed	dmcfmd011	56.9
gsed	dmcgmd002	25.98
gsed	dmcgmd003	33.64
gsed	dmcgmd004	36.61
gsed	dmcgmd005	40.79
gsed	dmcgmd006	41.44
gsed	dmcgmd007	43.86
gsed	dmcgmd008	43.22
gsed	dmcgmd009	46.36
gsed	dmcgmd010	45.36
gsed	dmcgmd011	49.99
gsed	dmcgmd012	46.97
gsed	dmcgmd013	47.79
gsed	dmcgmd014	53.44
gsed	dmcgmd016	53.33
gsed	dmcgmd017	50.17
gsed	dmclgd002	38.71
gsed	dmclgd003	47.59
gsed	dmclgd004	49.27
gsed	dmclgd005	46.14
gsed	dmclgd006	47.22
gsed	dmclgd007	50.92
gsed	dmclgd008	52.33
gsed	dmcsld001	28.39
gsed	dmcsld002	32.26
gsed	dmcsld003	30.57
gsed	dmcsld005	31.14
gsed	dmcsld006	37.88
gsed	dmcsld007	37.24
gsed	dmcsld008	37.89
gsed	dmcsld009	33.89
gsed	dmcsld010	30.63
gsed	dmcsld011	37.06
gsed	dmcsld018	43.74
gsed	dmcsld019	47.52
gsed	gricgd006	36.29
gsed	gricgd007	35.99
gsed	gricgd009	35.3
gsed	gricgd012	35.31
gsed	gricgd013	36.78
gsed	gricgd015	37.05
gsed	gricgd017	45.01
gsed	gricgd020	47.82
gsed	gricgd022	45.27
gsed	gricgd023	51.34
gsed	gricgd201	49.56
gsed	gricgd207	52.16
gsed	gricgd213	61.48
gsed	gricgd221	62.37
gsed	gricgd222	62.27
gsed	gricgd304	74.25
gsed	gricgd306	76.11
gsed	gricgd402	72.76
gsed	griehd010	34.8
gsed	griehd011	34.08
gsed	griehd018	48.49
gsed	griehd024	48.75
gsed	griehd201	47.46
gsed	griehd207	53.17
gsed	griehd209	51.79
gsed	griehd212	56.54
gsed	griehd215	57.61
gsed	griehd217	60.32
gsed	griehd218	59.45
gsed	griehd219	61.76
gsed	griehd220	65.36
gsed	griehd221	65.39
gsed	griehd223	60.87
gsed	griehd301	68.22
gsed	griehd302	69.87
gsed	griehd305	74.51
gsed	griehd306	72.53
gsed	griehd402	69.67
gsed	griehd404	79.73
gsed	grigmd010	36.47
gsed	grigmd011	35.32
gsed	grigmd013	36.49
gsed	grigmd014	37.52
gsed	grigmd015	37.74
gsed	grigmd016	40.95
gsed	grigmd017	37.98
gsed	grigmd202	47.73
gsed	grigmd203	49.99
gsed	grigmd205	46.52
gsed	grigmd206	49.89
gsed	grigmd207	50.38
gsed	grigmd208	49.88
gsed	grigmd211	52.67
gsed	grigmd212	53.6
gsed	grigmd214	61.54
gsed	grigmd215	63.23
gsed	grigmd216	55.5
gsed	grigmd217	56.45
gsed	grigmd218	54.26
gsed	grigmd304	69.47
gsed	grigmd305	65.67
gsed	grigmd401	71.1
gsed	grigmd403	79.7
gsed	grigmd404	76.67
gsed	grigmd405	75.53
gsed	grihsd011	38.2
gsed	grihsd013	35.33
gsed	grihsd016	44.74
gsed	grihsd017	46.3
gsed	grihsd018	47.19
gsed	grihsd023	47.38
gsed	grihsd024	48.42
gsed	grihsd207	52.01
gsed	grihsd208	51.91
gsed	grihsd213	54.72
gsed	grihsd214	57.18
gsed	grihsd215	63.39
gsed	grihsd216	56.4
gsed	grihsd217	59.81
gsed	grihsd218	64.87
gsed	grihsd219	58.88
gsed	grihsd220	60.24
gsed	grihsd222	62.99
gsed	grihsd223	66.17
gsed	grihsd224	63.72
gsed	grihsd301	68.76
gsed	grihsd302	73.98
gsed	grihsd303	70.6
gsed	grihsd501	72.68
gsed	grired304	76.38
gsed	grired306	77.44
gsed	grired401	78.49
gsed	grired402	78.72
gsed	iyolgc001	30.82
gsed	iyolgc002	29.71
gsed	iyolgc003	31.08
gsed	iyolgc004	33.03
gsed	iyolgc006	40.18
gsed	iyolgc013	51.82
gsed	iyolgc017	57.1
gsed	iyolgc018	59.81
gsed	iyolgc020	59.53
gsed	iyolgc021	60.89
gsed	iyolgc022	61.28
gsed	iyolgc023	61.67
gsed	iyolgc024	62.4
gsed	iyolgc025	63.68
gsed	iyolgc026	64.39
gsed	iyolgc027	65.34
gsed	iyolgc028	65.96
gsed	iyolgc029	68.82
gsed	iyolgc030	68.24
gsed	iyomoc001	26.53
gsed	iyomoc004	31.79
gsed	iyomoc005	33.97
gsed	iyomoc006	33.77
gsed	iyomoc007	35.34
gsed	iyomoc008	38.45
gsed	iyomoc009	37.77
gsed	iyomoc011	40.09
gsed	iyomoc012	40.63
gsed	iyomoc013	41.11
gsed	iyomoc014	42.21
gsed	iyomoc016	44.19
gsed	iyomoc017	43.04
gsed	iyomoc018	45.4
gsed	iyomoc019	46.08
gsed	iyomoc020	48.19
gsed	iyomoc021	49.65
gsed	iyomoc022	49.92
gsed	iyomoc023	50.84
gsed	iyomoc024	49.99
gsed	iyomoc025	51.32
gsed	iyomoc027	52.84
gsed	iyomoc028	52.39
gsed	iyomoc030	53.17
gsed	iyomoc031	57
gsed	iyomoc032	57.54
gsed	iyomoc037	62.68
gsed	iyomoc038	69.64
gsed	iyomoc039	69.87
gsed	iyomoc040	68.6
gsed	iyosec001	30.22
gsed	iyosec002	29.72
gsed	iyosec003	33.99
gsed	iyosec004	29.52
gsed	iyosec005	32.38
gsed	iyosec006	38.51
gsed	kdifmd002	49.89
gsed	kdifmd003	52.38
gsed	kdifmd012	66.05
gsed	kdifmd013	68.45
gsed	kdifmd017	68.7
gsed	kdifmd018	71.92
gsed	kdifmd019	42.88
gsed	kdifmd020	46.47
gsed	kdifmd023	28.34
gsed	kdifmd026	68.37
gsed	kdifmd027	71.15
gsed	kdifmd141	36.13
gsed	kdifmd142	46.49
gsed	kdifmd143	50.91
gsed	kdifmd144	56.85
gsed	kdifmd152	45.9
gsed	kdifmd154	61.96
gsed	kdifmd162	51.19
gsed	kdifmd163	62.63
gsed	kdigmd001	41.15
gsed	kdigmd002	48.77
gsed	kdigmd003	52.93
gsed	kdigmd004	66.83
gsed	kdigmd005	45.16
gsed	kdigmd006	49.99
gsed	kdigmd007	62.72
gsed	kdigmd008	65.72
gsed	kdigmd009	69.87
gsed	kdigmd010	76.52
gsed	kdigmd011	64.78
gsed	kdigmd012	66.67
gsed	kdigmd013	54.96
gsed	kdigmd014	58.63
gsed	kdigmd015	72.24
gsed	kdigmd016	78.57
gsed	kdigmd017	67.79
gsed	kdigmd018	54.28
gsed	kdigmd020	57.82
gsed	kdigmd021	69.91
gsed	kdigmd022	72.7
gsed	kdigmd023	79.35
gsed	kdigmd026	33.86
gsed	kdigmd027	30.69
gsed	kdigmd028	32.46
gsed	kdigmd029	35.51
gsed	kdigmd031	44.06
gsed	kdigmd033	50.48
gsed	kdigmd034	71.13
gsed	macgmd002	68.64
gsed	macgmd003	71.51
gsed	macgmd041	69.87
gsed	mdsgmd006	49.99
gsed	mdtfmd001	21.83
gsed	mdtfmd002	25.94
gsed	mdtfmd003	31.43
gsed	mdtfmd004	31.59
gsed	mdtfmd005	34.85
gsed	mdtfmd006	36.51
gsed	mdtfmd007	39.63
gsed	mdtfmd008	38.77
gsed	mdtfmd009	40.78
gsed	mdtfmd010	44.24
gsed	mdtfmd011	44.15
gsed	mdtfmd012	46.11
gsed	mdtfmd014	50.87
gsed	mdtfmd015	49.84
gsed	mdtfmd016	52.4
gsed	mdtfmd017	55.51
gsed	mdtfmd018	57.37
gsed	mdtfmd019	59.72
gsed	mdtfmd020	59.62
gsed	mdtfmd021	60.89
gsed	mdtfmd022	60.78
gsed	mdtfmd023	63.54
gsed	mdtfmd024	64.18
gsed	mdtfmd025	64.62
gsed	mdtfmd026	65.8
gsed	mdtfmd027	67.5
gsed	mdtfmd028	68.72
gsed	mdtfmd029	69.31
gsed	mdtfmd030	68.74
gsed	mdtfmd031	69.59
gsed	mdtfmd032	69.64
gsed	mdtfmd033	72.05
gsed	mdtfmd034	77.07
gsed	mdtgmd001	20.05
gsed	mdtgmd002	25.86
gsed	mdtgmd003	30.77
gsed	mdtgmd004	27.41
gsed	mdtgmd005	31.19
gsed	mdtgmd006	33.67
gsed	mdtgmd007	33.02
gsed	mdtgmd008	36.49
gsed	mdtgmd009	37.57
gsed	mdtgmd010	40.03
gsed	mdtgmd011	44.03
gsed	mdtgmd012	43.86
gsed	mdtgmd013	46.12
gsed	mdtgmd014	48.18
gsed	mdtgmd015	49.49
gsed	mdtgmd016	49.99
gsed	mdtgmd017	53.37
gsed	mdtgmd018	53.87
gsed	mdtgmd019	56.74
gsed	mdtgmd020	60.35
gsed	mdtgmd021	58.31
gsed	mdtgmd022	65.28
gsed	mdtgmd023	65.36
gsed	mdtgmd024	64.38
gsed	mdtgmd025	65.83
gsed	mdtgmd026	66.32
gsed	mdtgmd027	68.26
gsed	mdtgmd028	68.84
gsed	mdtgmd029	66.62
gsed	mdtgmd030	70.38
gsed	mdtgmd031	68.5
gsed	mdtgmd032	69.71
gsed	mdtgmd033	73.91
gsed	mdtgmd034	74.14
gsed	mdtlgd001	17.21
gsed	mdtlgd002	22.39
gsed	mdtlgd003	31.26
gsed	mdtlgd004	30.82
gsed	mdtlgd007	45.12
gsed	mdtlgd008	45.63
gsed	mdtlgd009	50.73
gsed	mdtlgd010	53.42
gsed	mdtlgd013	57.23
gsed	mdtlgd014	59.9
gsed	mdtlgd015	59.67
gsed	mdtlgd016	61.03
gsed	mdtlgd017	62.91
gsed	mdtlgd018	62.91
gsed	mdtlgd019	62.45
gsed	mdtlgd020	63.24
gsed	mdtlgd021	64.11
gsed	mdtlgd023	66.33
gsed	mdtlgd024	68.36
gsed	mdtlgd025	68.09
gsed	mdtlgd026	68.85
gsed	mdtlgd027	69
gsed	mdtlgd028	69.76
gsed	mdtlgd029	70.07
gsed	mdtlgd030	70.62
gsed	mdtlgd031	69.09
gsed	mdtlgd032	74.2
gsed	mdtlgd033	74.66
gsed	mdtlgd034	76.31
gsed	mdtsed001	14.01
gsed	mdtsed002	24.51
gsed	mdtsed003	27.15
gsed	mdtsed004	26.88
gsed	mdtsed005	31.31
gsed	mdtsed006	36.61
gsed	mdtsed007	38.57
gsed	mdtsed008	40.47
gsed	mdtsed009	42.35
gsed	mdtsed010	48.48
gsed	mdtsed011	49.38
gsed	mdtsed012	49.66
gsed	mdtsed013	52.37
gsed	mdtsed014	52.93
gsed	mdtsed016	57.38
gsed	mdtsed017	57.7
gsed	mdtsed018	57.93
gsed	mdtsed019	58.75
gsed	mdtsed020	61.13
gsed	mdtsed021	60.6
gsed	mdtsed022	60.15
gsed	mdtsed023	60.66
gsed	mdtsed024	62.02
gsed	mdtsed025	62.22
gsed	mdtsed026	64.11
gsed	mdtsed027	63.28
gsed	mdtsed028	67.56
gsed	mdtsed029	68.61
gsed	mdtsed032	70.26
gsed	mdtsed033	69.86
gsed	pegfmd002	72.43
gsed	sbivsd003	65.08
gsed	sbiwmd007	73.41
gsed	sbiwmd008	72.18
gsed	sbiwmd009	73.29
gsed	sbiwmd010	75.44
gsed	sgrehd012	36.82
gsed	sgrfmd016	34.89
gsed	sgrfmd017	35.58
gsed	sgrgmd018	37.23
gsed	sgrgmd022	39.35
gsed	sgrhsd010	36.74
gsed	sgrhsd015	38.47
gsed	sgrred006	35.42
gsed	sgrred008	36.19
gsed	sgrred009	35.17
gsed	sgrred010	35.99
gsed	sgrred016	35.5
gsed	sgrred018	33.56
gsed	sgrred025	48.21
gsed	sgrred030	48.4
gsed	sgrred032	48.3
gsed	sgrred035	50.47
gsed	sgrred036	50.06
gsed	sgrred041	51.49
gsed	tepcod010	72.53
gsed	tepcod133	69.76
gsed	teplgd002	67.76
gsed	teplgd018	71.02
gsed	teplgd020	68.69
gsed	teplgd022	69.59
gsed	teplgd023	67.72
gsed	teplgd025	67.71
gsed	teplgd031	70.97
gsed	teplgd032	69.8
gsed	teplgd034	70.97
gsed	teplgd035	69.44
gsed	teplgd036	69.2
gsed	teplgd040	72.8
gsed	teplgd281	68.58
gsed	teplgd282	71.14
gsed	teplgd283	70.59
gsed	teplgd291	69.9
gsed	teplgd293	68.19
gsed	teplgd301	71.04
gsed	teplgd302	70.34
gsed	teplgd303	71.38
gsed	teplgd391	70.87
gsed	teplgd392	70.51
gsed	teplgd393	71.01
gsed	teplgd394	72.32
gsed	tepmod005	67.2
gsed	tepmod006	69.03
gsed	tepmod009	69.64
gsed	tepmod049	70.55
gsed	tepmod442	69.87
gsed	vinxxc004	59.07
gsed	vinxxc006	52.1
gsed	vinxxc007	52.12
gsed	vinxxc008	53.04
gsed	vinxxc013	56.62
gsed	vinxxc015	59.84
gsed	vinxxc016	59.81
gsed	vinxxc019	61.1
gsed	vinxxc021	58.07
gsed	vinxxc024	60.11
gsed	vinxxc029	57.08
gsed	vinxxc030	60.09
gsed	vinxxc037	60.53
gsed	vinxxc038	60.21
gsed	vinxxc041	61.86
gsed	vinxxc046	61.73
gsed	vinxxc048	60.09
