phase1	phase2	gsed	gsed2	gsed3	gsed4	short1	short2	instrument	seq_phase1	seq_phase2	label
Ma_LF_B30	Ma_LF_B35	mdtlgd020	gtolgd030	gl1lgd035	lfblgd035	B30	B35	LF	79	84	B35 Says first name (2X)
Ma_LF_B35	Ma_LF_B36	mdtlgd023	gtolgd035	gl1lgd036	lfblgd036	B35	B36	LF	84	85	B36 Names 10 objects (2X)
Ma_LF_B47	Ma_LF_B37	teplgd018	gtolgd047	gl1lgd037	lfblgd037	B47	B37	LF	96	86	"B27 Understands ""more"" (2X)"
Ma_LF_B43	Ma_LF_B38	teplgd032	gtolgd043	gl1lgd038	lfblgd038	B43	B38	LF	92	87	B38 Identifies 2 or more colours (2X)
Ma_LF_B45	Ma_LF_B39	grihsd303	gtolgd045	gl1lgd039	lfblgd039	B45	B39	LF	94	88	B39 Knows use of objects (2X)
Ma_LF_B49	Ma_LF_B40	teplgd031	gtolgd049	gl1lgd040	lfblgd040	B49	B40	LF	98	89	B40 Names at least 2 colours (2X)
Ma_LF_B34	Ma_LF_B41	by3red029	gtolgd034	gl1lgd041	lfblgd041	B34	B41	LF	83	90	B41 Identifies 5 action pictures
Ma_LF_B48	Ma_LF_B42	teplgd034	gtolgd048	gl1lgd042	lfblgd042	B48	B42	LF	97	91	B42 Identifies at least 2 shapes (2X)
Ma_LF_B37	Ma_LF_B43	ddicmm047	gtolgd037	gl1lgd043	lfblgd043	B37	B43	LF	86	92	B43 Talks easily about daily events
Ma_LF_B42	Ma_LF_B44	teplgd035	gtolgd042	gl1lgd044	lfblgd044	B42	B44	LF	91	93	B44 Describes picture (2X)
Ma_LF_B39	Ma_LF_B45	teplgd281	gtolgd039	gl1lgd045	lfblgd045	B39	B45	LF	88	94	B45 Gives logical response to a question (2X)
Ma_LF_B40	Ma_LF_B46	mdtlgd024	gtolgd040	gl1lgd046	lfblgd046	B40	B46	LF	89	95	B46 Categorizes things
Ma_LF_B41	Ma_LF_B47	by3cgd068	gtolgd041	gl1lgd047	lfblgd047	B41	B47	LF	90	96	B47 Matches 3 colours (2X)
Ma_LF_B44	Ma_LF_B48	mdtlgd029	gtolgd044	gl1lgd048	lfblgd048	B44	B48	LF	93	97	"B48 Understands adjective ""faster"" (2X)"
Ma_LF_B46	Ma_LF_B49	by3exd037	gtolgd046	gl1lgd049	lfblgd049	B46	B49	LF	95	98	B49 Names actions (5)
Ma_LF_B50	Ma_LF_B50	sbiwmd007	gtolgd050	gl1lgd050	lfblgd050	B50	B50	LF	99	99	B50 Taps with 2 blocks
Ma_LF_B51	Ma_LF_B51	sbiwmd008	gtolgd051	gl1lgd051	lfblgd051	B51	B51	LF	100	100	B51 Taps with 4 blocks
Ma_LF_B52	Ma_LF_B52	sbiwmd009	gtolgd052	gl1lgd052	lfblgd052	B52	B52	LF	101	101	B52 Taps with 8 blocks
Ma_LF_C01	Ma_LF_C01	ddifmd001	gtofmd001	gl1fmd001	lfcfmd001	C01	C01	LF	102	102	C1  Fixates eyes (2X)
Ma_LF_C02	Ma_LF_C02	mdtlgd001	gtofmd002	gl1fmd002	lfcfmd002	C02	C02	LF	103	103	C2  Responds to sound (2X)
Ma_LF_C03	Ma_LF_C03	mdtfmd002	gtofmd003	gl1fmd003	lfcfmd003	C03	C03	LF	104	104	C3  Fixes and follows - 180 degrees
Ma_LF_C07	Ma_LF_C04	sgrred018	gtofmd007	gl1fmd004	lfcfmd004	C07	C04	LF	108	105	C4  Manipulates cup OR spoon in play
Ma_LF_C04	Ma_LF_C05	by1mdd072	gtofmd004	gl1fmd005	lfcfmd005	C04	C05	LF	105	106	C5  Shows interest in making a sound (2X)
Ma_LF_C06	Ma_LF_C06	by1mdd062	gtofmd006	gl1fmd006	lfcfmd006	C06	C06	LF	107	107	C6  Turns head towards fallen object (2X)
Ma_LF_C05	Ma_LF_C07	by1mdd058	gtofmd005	gl1fmd007	lfcfmd007	C05	C07	LF	106	108	C7  Discriminates strangers
Ma_LF_C10	Ma_LF_C08	by1mdd088	gtofmd010	gl1fmd008	lfcfmd008	C10	C08	LF	111	109	C8  Picks up cup to get block
Ma_LF_C13	Ma_LF_C09	mdtfmd012	gtofmd013	gl1fmd009	lfcfmd009	C13	C09	LF	114	110	C9  Finds toy under cloth (2X)
Ma_LF_C09	Ma_LF_C10	by1mdd080	gtofmd009	gl1fmd010	lfcfmd010	C09	C10	LF	110	111	C10 Pulls string to get object (2X)
Ma_LF_C08	Ma_LF_C11	by1mdd073	gtofmd008	gl1fmd011	lfcfmd011	C08	C11	LF	109	112	C11 Lifts cup by the handle (2X)
Ma_LF_C11	Ma_LF_C12	denfmd014	gtofmd011	gl1fmd012	lfcfmd012	C11	C12	LF	112	113	C12 Puts block in cup (2X)
Ma_LF_C12	Ma_LF_C13	denfmd013	gtofmd012	gl1fmd013	lfcfmd013	C12	C13	LF	113	114	C13 Bangs 2 objects together
Ma_LF_C14	Ma_LF_C14	by1mdd104	gtofmd014	gl1fmd014	lfcfmd014	C14	C14	LF	115	115	C14 Pats toy to make noise (2X
Ma_LF_C17	Ma_LF_C15	dmcfmd009	gtofmd017	gl1fmd015	lfcfmd015	C17	C15	LF	118	116	C15 Makes marks with crayon (2X)
