phase1	phase2	gsed	gsed2	gsed3	gsed4	short1	short2	instrument	seq_phase1	seq_phase2	label
bsid_cog27	bsid_cog27	by3cgd027	by3cgd027	by3cgd027	by3cgd027	cog27	cog27	BSID			Picks Up Block Series: Reaches for second block
bsid_cog28	bsid_cog28	by3cgd028	by3cgd028	by3cgd028	by3cgd028	cog28	cog28	BSID			Pulls cloth to obtain object
bsid_cog29	bsid_cog29	by3cgd029	by3cgd029	by3cgd029	by3cgd029	cog29	cog29	BSID			Pulls string adaptively
bsid_cog30	bsid_cog30	by3cgd030	by3cgd030	by3cgd030	by3cgd030	cog30	cog30	BSID			Retains both blocks
bsid_cog31	bsid_cog31	by3cgd031	by3cgd031	by3cgd031	by3cgd031	cog31	cog31	BSID			Bell Series: Rings purposely
bsid_cog32	bsid_cog32	by3cgd032	by3cgd032	by3cgd032	by3cgd032	cog32	cog32	BSID			Looks at pictures
bsid_cog33	bsid_cog33	by3cgd033	by3cgd033	by3cgd033	by3cgd033	cog33	cog33	BSID			Picks Up Block Series: Retains 2 of 3 blocks
bsid_cog34	bsid_cog34	by3cgd034	by3cgd034	by3cgd034	by3cgd034	cog34	cog34	BSID			Searches for missing objects
bsid_cog35	bsid_cog35	by3cgd035	by3cgd035	by3cgd035	by3cgd035	cog35	cog35	BSID			Takes blocks out of cup
bsid_cog36	bsid_cog36	by3cgd036	by3cgd036	by3cgd036	by3cgd036	cog36	cog36	BSID			Block Series: 1 Block
bsid_cog37	bsid_cog37	by3cgd037	by3cgd037	by3cgd037	by3cgd037	cog37	cog37	BSID			Picks up Block Series: 3 blocks
bsid_cog38	bsid_cog38	by3cgd038	by3cgd038	by3cgd038	by3cgd038	cog38	cog38	BSID			Explores holes in pegboard
bsid_cog39	bsid_cog39	by3cgd039	by3cgd039	by3cgd039	by3cgd039	cog39	cog39	BSID			Pushes car
bsid_cog40	bsid_cog40	by3cgd040	by3cgd040	by3cgd040	by3cgd040	cog40	cog40	BSID			Finds hidden object
bsid_cog41	bsid_cog41	by3cgd041	by3cgd041	by3cgd041	by3cgd041	cog41	cog41	BSID			Suspends ring
bsid_cog42	bsid_cog42	by3cgd042	by3cgd042	by3cgd042	by3cgd042	cog42	cog42	BSID			Removes pellet
bsid_cog43	bsid_cog43	by3cgd043	by3cgd043	by3cgd043	by3cgd043	cog43	cog43	BSID			Clear Box: Front
bsid_cog44	bsid_cog44	by3cgd044	by3cgd044	by3cgd044	by3cgd044	cog44	cog44	BSID			Squeezes object
bsid_cog45	bsid_cog45	by3cgd045	by3cgd045	by3cgd045	by3cgd045	cog45	cog45	BSID			Finds hidden object (Reversed)
bsid_cog46	bsid_cog46	by3cgd046	by3cgd046	by3cgd046	by3cgd046	cog46	cog46	BSID			Removes lid from bottle
bsid_cog47	bsid_cog47	by3cgd047	by3cgd047	by3cgd047	by3cgd047	cog47	cog47	BSID			Pegboard Series: 2 holes
bsid_cog48	bsid_cog48	by3cgd048	by3cgd048	by3cgd048	by3cgd048	cog48	cog48	BSID			Relational Play Series: Self
bsid_cog49	bsid_cog49	by3cgd049	by3cgd049	by3cgd049	by3cgd049	cog49	cog49	BSID			Pink Board Series: 1 piece
bsid_cog50	bsid_cog50	by3cgd050	by3cgd050	by3cgd050	by3cgd050	cog50	cog50	BSID			Finds hidden object (Visible Displacement)
bsid_cog51	bsid_cog51	by3cgd051	by3cgd051	by3cgd051	by3cgd051	cog51	cog51	BSID			Blue Board Series: 1 piece
bsid_cog52	bsid_cog52	by3cgd052	by3cgd052	by3cgd052	by3cgd052	cog52	cog52	BSID			Clear Box: Sides
bsid_cog53	bsid_cog53	by3cgd053	by3cgd053	by3cgd053	by3cgd053	cog53	cog53	BSID			Relational Play Series: Others
bsid_cog54	bsid_cog54	by3cgd054	by3cgd054	by3cgd054	by3cgd054	cog54	cog54	BSID			Block Series: 9 Blocks
bsid_cog55	bsid_cog55	by3cgd055	by3cgd055	by3cgd055	by3cgd055	cog55	cog55	BSID			Pegboard Series: 6 Pegs
bsid_cog56	bsid_cog56	by3cgd056	by3cgd056	by3cgd056	by3cgd056	cog56	cog56	BSID			Pink Board Series: Completes
bsid_cog57	bsid_cog57	by3cgd057	by3cgd057	by3cgd057	by3cgd057	cog57	cog57	BSID			Uses pencil to obtain object
bsid_cog58	bsid_cog58	by3cgd058	by3cgd058	by3cgd058	by3cgd058	cog58	cog58	BSID			Blue Board Series: 4 Pieces
bsid_cog59	bsid_cog59	by3cgd059	by3cgd059	by3cgd059	by3cgd059	cog59	cog59	BSID			Attends to story
bsid_cog60	bsid_cog60	by3cgd060	by3cgd060	by3cgd060	by3cgd060	cog60	cog60	BSID			Rotated pink board
bsid_cog61	bsid_cog61	by3cgd061	by3cgd061	by3cgd061	by3cgd061	cog61	cog61	BSID			Object assembly (Ball)
bsid_cog62	bsid_cog62	by3cgd062	by3cgd062	by3cgd062	by3cgd062	cog62	cog62	BSID			Completes Pegboard: 25 Seconds
bsid_cog63	bsid_cog63	by3cgd063	by3cgd063	by3cgd063	by3cgd063	cog63	cog63	BSID			Object assembly (Ice Cream Cone)
bsid_cog64	bsid_cog64	by3cgd064	by3cgd064	by3cgd064	by3cgd064	cog64	cog64	BSID			Matches pictures
bsid_cog65	bsid_cog65	by3cgd065	by3cgd065	by3cgd065	by3cgd065	cog65	cog65	BSID			Representational play
bsid_cog66	bsid_cog66	by3cgd066	by3cgd066	by3cgd066	by3cgd066	cog66	cog66	BSID			Blue Board Series: Completes (75 seconds)
bsid_cog67	bsid_cog67	by3cgd067	by3cgd067	by3cgd067	by3cgd067	cog67	cog67	BSID			Imitates a two-step action.
bsid_cog68	bsid_cog68	by3cgd068	by3cgd068	by3cgd068	by3cgd068	cog68	cog68	BSID			Matches 3 colors
bsid_cog69	bsid_cog69	by3cgd069	by3cgd069	by3cgd069	by3cgd069	cog69	cog69	BSID			Imaginary play
bsid_cog70	bsid_cog70	by3cgd070	by3cgd070	by3cgd070	by3cgd070	cog70	cog70	BSID			Understands concept of one
bsid_cog71	bsid_cog71	by3cgd071	by3cgd071	by3cgd071	by3cgd071	cog71	cog71	BSID			Multischeme combination play
bsid_cog72	bsid_cog72	by3cgd072	by3cgd072	by3cgd072	by3cgd072	cog72	cog72	BSID			Concept Grouping: colour
bsid_cog73	bsid_cog73	by3cgd073	by3cgd073	by3cgd073	by3cgd073	cog73	cog73	BSID			Concept Grouping: Size
bsid_cog74	bsid_cog74	by3cgd074	by3cgd074	by3cgd074	by3cgd074	cog74	cog74	BSID			Compares masses
bsid_cog75	bsid_cog75	by3cgd075	by3cgd075	by3cgd075	by3cgd075	cog75	cog75	BSID			Matches size
bsid_cog76	bsid_cog76	by3cgd076	by3cgd076	by3cgd076	by3cgd076	cog76	cog76	BSID			Discriminates pictures
bsid_cog77	bsid_cog77	by3cgd077	by3cgd077	by3cgd077	by3cgd077	cog77	cog77	BSID			Simple pattern
bsid_cog78	bsid_cog78	by3cgd078	by3cgd078	by3cgd078	by3cgd078	cog78	cog78	BSID			Sorts pegs by colour
bsid_cog79	bsid_cog79	by3cgd079	by3cgd079	by3cgd079	by3cgd079	cog79	cog79	BSID			Counts (One-to-one correspondence)
bsid_cog80	bsid_cog80	by3cgd080	by3cgd080	by3cgd080	by3cgd080	cog80	cog80	BSID			Discriminates size
bsid_cog81	bsid_cog81	by3cgd081	by3cgd081	by3cgd081	by3cgd081	cog81	cog81	BSID			Identifies 3 incomplete pictures
bsid_cog82	bsid_cog82	by3cgd082	by3cgd082	by3cgd082	by3cgd082	cog82	cog82	BSID			Object assembly (Dog)
bsid_cog83	bsid_cog83	by3cgd083	by3cgd083	by3cgd083	by3cgd083	cog83	cog83	BSID			Discriminates patterns
bsid_cog84	bsid_cog84	by3cgd084	by3cgd084	by3cgd084	by3cgd084	cog84	cog84	BSID			Spatial memory
bsid_cog85	bsid_cog85	by3cgd085	by3cgd085	by3cgd085	by3cgd085	cog85	cog85	BSID			Counts (Cardinally)
bsid_cog86	bsid_cog86	by3cgd086	by3cgd086	by3cgd086	by3cgd086	cog86	cog86	BSID			Number constancy
bsid_cog87	bsid_cog87	by3cgd087	by3cgd087	by3cgd087	by3cgd087	cog87	cog87	BSID			Laces card
bsid_cog88	bsid_cog88	by3cgd088	by3cgd088	by3cgd088	by3cgd088	cog88	cog88	BSID			Classifies objects
bsid_cog89	bsid_cog89	by3cgd089	by3cgd089	by3cgd089	by3cgd089	cog89	cog89	BSID			Understands concept of more
bsid_cog90	bsid_cog90	by3cgd090	by3cgd090	by3cgd090	by3cgd090	cog90	cog90	BSID			Repeats number sequences
bsid_cog91	bsid_cog91	by3cgd091	by3cgd091	by3cgd091	by3cgd091	cog91	cog91	BSID			Completes patterns
bsid_rc01	bsid_rc01	by3red001	by3red001	by3red001	by3red001	rc01	rc01	BSID			Regards person momentarily
bsid_rc02	bsid_rc02	by3red002	by3red002	by3red002	by3red002	rc02	rc02	BSID			Tolerates attention
bsid_rc03	bsid_rc03	by3red003	by3red003	by3red003	by3red003	rc03	rc03	BSID			Calms when spoken to
bsid_rc04	bsid_rc04	by3red004	by3red004	by3red004	by3red004	rc04	rc04	BSID			Reacts to sound in environment
bsid_rc05	bsid_rc05	by3red005	by3red005	by3red005	by3red005	rc05	rc05	BSID			Responds to voice
bsid_rc06	bsid_rc06	by3red006	by3red006	by3red006	by3red006	rc06	rc06	BSID			Searches with head turn
bsid_rc07	bsid_rc07	by3red007	by3red007	by3red007	by3red007	rc07	rc07	BSID			Discriminates sounds
bsid_rc08	bsid_rc08	by3red008	by3red008	by3red008	by3red008	rc08	rc08	BSID			Sustained play with objects
bsid_rc09	bsid_rc09	by3red009	by3red009	by3red009	by3red009	rc09	rc09	BSID			Responds to name
bsid_rc10	bsid_rc10	by3red010	by3red010	by3red010	by3red010	rc10	rc10	BSID			Interrupts activity
bsid_rc11	bsid_rc11	by3red011	by3red011	by3red011	by3red011	rc11	rc11	BSID			Recognizes 2 familiar words
bsid_rc12	bsid_rc12	by3red012	by3red012	by3red012	by3red012	rc12	rc12	BSID			Responds to no-no
bsid_rc13	bsid_rc13	by3red013	by3red013	by3red013	by3red013	rc13	rc13	BSID			Attends to other's play routine
bsid_rc14	bsid_rc14	by3red014	by3red014	by3red014	by3red014	rc14	rc14	BSID			Responds to request for social routines
bsid_rc15	bsid_rc15	by3red015	by3red015	by3red015	by3red015	rc15	rc15	BSID			Identifies Object Series: 1 correct
bsid_rc16	bsid_rc16	by3red016	by3red016	by3red016	by3red016	rc16	rc16	BSID			Identifies object in the environment
bsid_rc17	bsid_rc17	by3red017	by3red017	by3red017	by3red017	rc17	rc17	BSID			Identifies Picture Series: 1 correct
bsid_rc18	bsid_rc18	by3red018	by3red018	by3red018	by3red018	rc18	rc18	BSID			Understands inhibitory words
bsid_rc19	bsid_rc19	by3red019	by3red019	by3red019	by3red019	rc19	rc19	BSID			Identifies Object Series: 3 correct
bsid_rc20	bsid_rc20	by3red020	by3red020	by3red020	by3red020	rc20	rc20	BSID			Follows one-part directions
bsid_rc21	bsid_rc21	by3red021	by3red021	by3red021	by3red021	rc21	rc21	BSID			Identifies Picture Series: 3 Correct
bsid_rc22	bsid_rc22	by3red022	by3red022	by3red022	by3red022	rc22	rc22	BSID			Identifies 3 clothing items
bsid_rc23	bsid_rc23	by3red023	by3red023	by3red023	by3red023	rc23	rc23	BSID			Identifies Action Picture Series: 1 correct
bsid_rc24	bsid_rc24	by3red024	by3red024	by3red024	by3red024	rc24	rc24	BSID			Identifies 5 parts of the body
bsid_rc25	bsid_rc25	by3red025	by3red025	by3red025	by3red025	rc25	rc25	BSID			Follows two-part directions
bsid_rc26	bsid_rc26	by3red026	by3red026	by3red026	by3red026	rc26	rc26	BSID			Identifies Action Picture Series: 3 correct
bsid_rc27	bsid_rc27	by3red027	by3red027	by3red027	by3red027	rc27	rc27	BSID			Understands use of objects
bsid_rc28	bsid_rc28	by3red028	by3red028	by3red028	by3red028	rc28	rc28	BSID			Understands part/whole relationships
bsid_rc29	bsid_rc29	by3red029	by3red029	by3red029	by3red029	rc29	rc29	BSID			Identifies Action Picture Series: 5 correct
bsid_rc30	bsid_rc30	by3red030	by3red030	by3red030	by3red030	rc30	rc30	BSID			Understands pronouns (him, me, my, you, your)
bsid_rc31	bsid_rc31	by3red031	by3red031	by3red031	by3red031	rc31	rc31	BSID			Understands labels for sizes
bsid_rc32	bsid_rc32	by3red032	by3red032	by3red032	by3red032	rc32	rc32	BSID			Understands Preposition Series: 2 correct
bsid_rc33	bsid_rc33	by3red033	by3red033	by3red033	by3red033	rc33	rc33	BSID			Understands possessives
bsid_rc34	bsid_rc34	by3red034	by3red034	by3red034	by3red034	rc34	rc34	BSID			Understands verb +ing
bsid_rc35	bsid_rc35	by3red035	by3red035	by3red035	by3red035	rc35	rc35	BSID			Identifies colours
bsid_rc36	bsid_rc36	by3red036	by3red036	by3red036	by3red036	rc36	rc36	BSID			Understands label of one
bsid_rc37	bsid_rc37	by3red037	by3red037	by3red037	by3red037	rc37	rc37	BSID			Understands pronouns (they, he, she)
bsid_rc38	bsid_rc38	by3red038	by3red038	by3red038	by3red038	rc38	rc38	BSID			Understands pronouns (his, her)
bsid_rc39	bsid_rc39	by3red039	by3red039	by3red039	by3red039	rc39	rc39	BSID			Understands plurals
bsid_rc40	bsid_rc40	by3red040	by3red040	by3red040	by3red040	rc40	rc40	BSID			Understands more
bsid_rc41	bsid_rc41	by3red041	by3red041	by3red041	by3red041	rc41	rc41	BSID			Understands most
bsid_rc42	bsid_rc42	by3red042	by3red042	by3red042	by3red042	rc42	rc42	BSID			Understands Preposition Series: 4 correct
bsid_rc43	bsid_rc43	by3red043	by3red043	by3red043	by3red043	rc43	rc43	BSID			Understands negatives in sentences
bsid_rc44	bsid_rc44	by3red044	by3red044	by3red044	by3red044	rc44	rc44	BSID			Understands past tense
bsid_rc45	bsid_rc45	by3red045	by3red045	by3red045	by3red045	rc45	rc45	BSID			Understands labels for mass
bsid_rc46	bsid_rc46	by3red046	by3red046	by3red046	by3red046	rc46	rc46	BSID			Understands least
bsid_rc47	bsid_rc47	by3red047	by3red047	by3red047	by3red047	rc47	rc47	BSID			Understands less
bsid_rc48	bsid_rc48	by3red048	by3red048	by3red048	by3red048	rc48	rc48	BSID			Understands descriptive labels
bsid_rc49	bsid_rc49	by3red049	by3red049	by3red049	by3red049	rc49	rc49	BSID			Identifies categories of objects
bsid_ec01	bsid_ec01	by3exd001	by3exd001	by3exd001	by3exd001	ec01	ec01	BSID			Undifferentiated throaty sounds
bsid_ec02	bsid_ec02	by3exd002	by3exd002	by3exd002	by3exd002	ec02	ec02	BSID			Social smile
bsid_ec03	bsid_ec03	by3exd003	by3exd003	by3exd003	by3exd003	ec03	ec03	BSID			Vocalizes mood
bsid_ec04	bsid_ec04	by3exd004	by3exd004	by3exd004	by3exd004	ec04	ec04	BSID			Undifferentiated nasal sounds
bsid_ec05	bsid_ec05	by3exd005	by3exd005	by3exd005	by3exd005	ec05	ec05	BSID			Social vocalization or laughing
bsid_ec06	bsid_ec06	by3exd006	by3exd006	by3exd006	by3exd006	ec06	ec06	BSID			2 Vowel sounds
bsid_ec07	bsid_ec07	by3exd007	by3exd007	by3exd007	by3exd007	ec07	ec07	BSID			Gets attention
bsid_ec08	bsid_ec08	by3exd008	by3exd008	by3exd008	by3exd008	ec08	ec08	BSID			2 Consonant sounds
bsid_ec09	bsid_ec09	by3exd009	by3exd009	by3exd009	by3exd009	ec09	ec09	BSID			Uses gestures
bsid_ec10	bsid_ec10	by3exd010	by3exd010	by3exd010	by3exd010	ec10	ec10	BSID			Consonant-Vowel Combination Series: 1 Combination
bsid_ec11	bsid_ec11	by3exd011	by3exd011	by3exd011	by3exd011	ec11	ec11	BSID			Participates in play routine
bsid_ec12	bsid_ec12	by3exd012	by3exd012	by3exd012	by3exd012	ec12	ec12	BSID			Jabbers expressively
bsid_ec13	bsid_ec13	by3exd013	by3exd013	by3exd013	by3exd013	ec13	ec13	BSID			Consonant-Vowel Combination Series: 4 Combination
bsid_ec14	bsid_ec14	by3exd014	by3exd014	by3exd014	by3exd014	ec14	ec14	BSID			Uses one-word approximations
bsid_ec15	bsid_ec15	by3exd015	by3exd015	by3exd015	by3exd015	ec15	ec15	BSID			Directs attention of other
bsid_ec16	bsid_ec16	by3exd016	by3exd016	by3exd016	by3exd016	ec16	ec16	BSID			Imitates word
bsid_ec17	bsid_ec17	by3exd017	by3exd017	by3exd017	by3exd017	ec17	ec17	BSID			Initiates play interaction
bsid_ec18	bsid_ec18	by3exd018	by3exd018	by3exd018	by3exd018	ec18	ec18	BSID			Uses Words Appropriately Series: 2 words
bsid_ec19	bsid_ec19	by3exd019	by3exd019	by3exd019	by3exd019	ec19	ec19	BSID			Uses word to make wants known
bsid_ec20	bsid_ec20	by3exd020	by3exd020	by3exd020	by3exd020	ec20	ec20	BSID			Names Object Series: 1 Object
bsid_ec21	bsid_ec21	by3exd021	by3exd021	by3exd021	by3exd021	ec21	ec21	BSID			Combines word and gesture
bsid_ec22	bsid_ec22	by3exd022	by3exd022	by3exd022	by3exd022	ec22	ec22	BSID			Names Picture Series: 1 Picture
bsid_ec23	bsid_ec23	by3exd023	by3exd023	by3exd023	by3exd023	ec23	ec23	BSID			Uses Words Appropriately Series: 8 words
bsid_ec24	bsid_ec24	by3exd024	by3exd024	by3exd024	by3exd024	ec24	ec24	BSID			Answers yes or no verbally in response to questions
bsid_ec25	bsid_ec25	by3exd025	by3exd025	by3exd025	by3exd025	ec25	ec25	BSID			Imitates a two-word utterance
bsid_ec26	bsid_ec26	by3exd026	by3exd026	by3exd026	by3exd026	ec26	ec26	BSID			Uses a two-word utterance
bsid_ec27	bsid_ec27	by3exd027	by3exd027	by3exd027	by3exd027	ec27	ec27	BSID			Names Object Series: 3 Object
bsid_ec28	bsid_ec28	by3exd028	by3exd028	by3exd028	by3exd028	ec28	ec28	BSID			Names Picture Series: 5 Pictures
bsid_ec29	bsid_ec29	by3exd029	by3exd029	by3exd029	by3exd029	ec29	ec29	BSID			Uses multiple-word utterances
bsid_ec30	bsid_ec30	by3exd030	by3exd030	by3exd030	by3exd030	ec30	ec30	BSID			Uses pronouns
bsid_ec31	bsid_ec31	by3exd031	by3exd031	by3exd031	by3exd031	ec31	ec31	BSID			Names Action Picture Series: 1 Picture
bsid_ec32	bsid_ec32	by3exd032	by3exd032	by3exd032	by3exd032	ec32	ec32	BSID			Poses multiple-word questions
bsid_ec33	bsid_ec33	by3exd033	by3exd033	by3exd033	by3exd033	ec33	ec33	BSID			Makes a contingent utterance
bsid_ec34	bsid_ec34	by3exd034	by3exd034	by3exd034	by3exd034	ec34	ec34	BSID			Uses verb +ing
bsid_ec35	bsid_ec35	by3exd035	by3exd035	by3exd035	by3exd035	ec35	ec35	BSID			Names Action Picture Series: 3 Pictures
bsid_ec36	bsid_ec36	by3exd036	by3exd036	by3exd036	by3exd036	ec36	ec36	BSID			Uses different word combinations
bsid_ec37	bsid_ec37	by3exd037	by3exd037	by3exd037	by3exd037	ec37	ec37	BSID			Names Action Picture Series: 5 Pictures
bsid_ec38	bsid_ec38	by3exd038	by3exd038	by3exd038	by3exd038	ec38	ec38	BSID			Uses plurals
bsid_ec39	bsid_ec39	by3exd039	by3exd039	by3exd039	by3exd039	ec39	ec39	BSID			Answers what or where questions
bsid_ec40	bsid_ec40	by3exd040	by3exd040	by3exd040	by3exd040	ec40	ec40	BSID			Uses possessives
bsid_ec41	bsid_ec41	by3exd041	by3exd041	by3exd041	by3exd041	ec41	ec41	BSID			Names 4 colours
bsid_ec42	bsid_ec42	by3exd042	by3exd042	by3exd042	by3exd042	ec42	ec42	BSID			Answers questions logically (Related to functions)
bsid_ec43	bsid_ec43	by3exd043	by3exd043	by3exd043	by3exd043	ec43	ec43	BSID			Tells how an object is used
bsid_ec44	bsid_ec44	by3exd044	by3exd044	by3exd044	by3exd044	ec44	ec44	BSID			Uses prepositions
bsid_ec45	bsid_ec45	by3exd045	by3exd045	by3exd045	by3exd045	ec45	ec45	BSID			Uses present progressive form
bsid_ec46	bsid_ec46	by3exd046	by3exd046	by3exd046	by3exd046	ec46	ec46	BSID			Describes Pictures Series: Uses 4-5 word sentences
bsid_ec47	bsid_ec47	by3exd047	by3exd047	by3exd047	by3exd047	ec47	ec47	BSID			Describes Pictures Series: Uses past tense
bsid_ec48	bsid_ec48	by3exd048	by3exd048	by3exd048	by3exd048	ec48	ec48	BSID			Describes Pictures Series: Uses future tense
bsid_fm01	bsid_fm01	by3fmd001	by3fmd001	by3fmd001	by3fmd001	fm01	fm01	BSID			Hands are fisted
bsid_fm02	bsid_fm02	by3fmd002	by3fmd002	by3fmd002	by3fmd002	fm02	fm02	BSID			Eyes follow  moving person
bsid_fm03	bsid_fm03	by3fmd003	by3fmd003	by3fmd003	by3fmd003	fm03	fm03	BSID			Eyes follow ring horizontal
bsid_fm04	bsid_fm04	by3fmd004	by3fmd004	by3fmd004	by3fmd004	fm04	fm04	BSID			Eyes follow ring vertical
bsid_fm05	bsid_fm05	by3fmd005	by3fmd005	by3fmd005	by3fmd005	fm05	fm05	BSID			Attempts to bring hand to mouth
bsid_fm06	bsid_fm06	by3fmd006	by3fmd006	by3fmd006	by3fmd006	fm06	fm06	BSID			Retains ring
bsid_fm07	bsid_fm07	by3fmd007	by3fmd007	by3fmd007	by3fmd007	fm07	fm07	BSID			Eyes follow ring circular
bsid_fm08	bsid_fm08	by3fmd008	by3fmd008	by3fmd008	by3fmd008	fm08	fm08	BSID			Head follow ring
bsid_fm09	bsid_fm09	by3fmd009	by3fmd009	by3fmd009	by3fmd009	fm09	fm09	BSID			Eyes follow rolling ball
bsid_fm10	bsid_fm10	by3fmd010	by3fmd010	by3fmd010	by3fmd010	fm10	fm10	BSID			Keeps hand open
bsid_fm11	bsid_fm11	by3fmd011	by3fmd011	by3fmd011	by3fmd011	fm11	fm11	BSID			Rotates wrist
bsid_fm12	bsid_fm12	by3fmd012	by3fmd012	by3fmd012	by3fmd012	fm12	fm12	BSID			Grasps suspended ring
bsid_fm13	bsid_fm13	by3fmd013	by3fmd013	by3fmd013	by3fmd013	fm13	fm13	BSID			Blocks series reaches for block
bsid_fm14	bsid_fm14	by3fmd014	by3fmd014	by3fmd014	by3fmd014	fm14	fm14	BSID			Touches block
bsid_fm15	bsid_fm15	by3fmd015	by3fmd015	by3fmd015	by3fmd015	fm15	fm15	BSID			Block Series: Whole hand grasp
bsid_fm16	bsid_fm16	by3fmd016	by3fmd016	by3fmd016	by3fmd016	fm16	fm16	BSID			Reaches unilaterally
bsid_fm17	bsid_fm17	by3fmd017	by3fmd017	by3fmd017	by3fmd017	fm17	fm17	BSID			Food Pellet Series: Raking grasp
bsid_fm18	bsid_fm18	by3fmd018	by3fmd018	by3fmd018	by3fmd018	fm18	fm18	BSID			Block Series: Partial thumb opposition
bsid_fm19	bsid_fm19	by3fmd019	by3fmd019	by3fmd019	by3fmd019	fm19	fm19	BSID			Transfers ring
bsid_fm20	bsid_fm20	by3fmd020	by3fmd020	by3fmd020	by3fmd020	fm20	fm20	BSID			Food Pellet Series: Whole hand grasp
bsid_fm21	bsid_fm21	by3fmd021	by3fmd021	by3fmd021	by3fmd021	fm21	fm21	BSID			Transfers block
bsid_fm22	bsid_fm22	by3fmd022	by3fmd022	by3fmd022	by3fmd022	fm22	fm22	BSID			Block Series: Thumb-fingertip grasp
bsid_fm23	bsid_fm23	by3fmd023	by3fmd023	by3fmd023	by3fmd023	fm23	fm23	BSID			Brings spoons or blocks to midline
bsid_fm24	bsid_fm24	by3fmd024	by3fmd024	by3fmd024	by3fmd024	fm24	fm24	BSID			Food Pellet Series: Partial thumb opposition
bsid_fm25	bsid_fm25	by3fmd025	by3fmd025	by3fmd025	by3fmd025	fm25	fm25	BSID			Lifts cup by the handle
bsid_fm26	bsid_fm26	by3fmd026	by3fmd026	by3fmd026	by3fmd026	fm26	fm26	BSID			Food Pellet Series: Thumb-fingertip grasp
bsid_fm27	bsid_fm27	by3fmd027	by3fmd027	by3fmd027	by3fmd027	fm27	fm27	BSID			Turns pages of books
bsid_fm28	bsid_fm28	by3fmd028	by3fmd028	by3fmd028	by3fmd028	fm28	fm28	BSID			Grasp series: Palmar grasp
bsid_fm29	bsid_fm29	by3fmd029	by3fmd029	by3fmd029	by3fmd029	fm29	fm29	BSID			Isolates extended ring finger
bsid_fm30	bsid_fm30	by3fmd030	by3fmd030	by3fmd030	by3fmd030	fm30	fm30	BSID			Scribbles spontaneously
bsid_fm31	bsid_fm31	by3fmd031	by3fmd031	by3fmd031	by3fmd031	fm31	fm31	BSID			Block Stacking Series: 2 blocks
bsid_fm32	bsid_fm32	by3fmd032	by3fmd032	by3fmd032	by3fmd032	fm32	fm32	BSID			Imitates Stroke Series: Random
bsid_fm33	bsid_fm33	by3fmd033	by3fmd033	by3fmd033	by3fmd033	fm33	fm33	BSID			Places 10 pellets in bottle (60 seconds)
bsid_fm34	bsid_fm34	by3fmd034	by3fmd034	by3fmd034	by3fmd034	fm34	fm34	BSID			Grasp series: Transitional grasp
bsid_fm35	bsid_fm35	by3fmd035	by3fmd035	by3fmd035	by3fmd035	fm35	fm35	BSID			Coins in slot
bsid_fm36	bsid_fm36	by3fmd036	by3fmd036	by3fmd036	by3fmd036	fm36	fm36	BSID			Connecting Blocks: Apart
bsid_fm37	bsid_fm37	by3fmd037	by3fmd037	by3fmd037	by3fmd037	fm37	fm37	BSID			Grasp Series: Intermediate (Tripod) grasp
bsid_fm38	bsid_fm38	by3fmd038	by3fmd038	by3fmd038	by3fmd038	fm38	fm38	BSID			Block stacking Series: 6 blocks
bsid_fm39	bsid_fm39	by3fmd039	by3fmd039	by3fmd039	by3fmd039	fm39	fm39	BSID			Uses hand to hold paper in place
bsid_fm40	bsid_fm40	by3fmd040	by3fmd040	by3fmd040	by3fmd040	fm40	fm40	BSID			Imitates Strokes Series: Horizontal
bsid_fm41	bsid_fm41	by3fmd041	by3fmd041	by3fmd041	by3fmd041	fm41	fm41	BSID			Imitates Strokes Series: Vertical
bsid_fm42	bsid_fm42	by3fmd042	by3fmd042	by3fmd042	by3fmd042	fm42	fm42	BSID			Connecting Blocks: Together
bsid_fm43	bsid_fm43	by3fmd043	by3fmd043	by3fmd043	by3fmd043	fm43	fm43	BSID			Imitates Strokes Series: Circular
bsid_fm44	bsid_fm44	by3fmd044	by3fmd044	by3fmd044	by3fmd044	fm44	fm44	BSID			Builds train of blocks
bsid_fm45	bsid_fm45	by3fmd045	by3fmd045	by3fmd045	by3fmd045	fm45	fm45	BSID			Strings 3 blocks
bsid_fm46	bsid_fm46	by3fmd046	by3fmd046	by3fmd046	by3fmd046	fm46	fm46	BSID			Imitates hand movements
bsid_fm47	bsid_fm47	by3fmd047	by3fmd047	by3fmd047	by3fmd047	fm47	fm47	BSID			Snips paper
bsid_fm48	bsid_fm48	by3fmd048	by3fmd048	by3fmd048	by3fmd048	fm48	fm48	BSID			Grasp Series: Dynamic grasp
bsid_fm49	bsid_fm49	by3fmd049	by3fmd049	by3fmd049	by3fmd049	fm49	fm49	BSID			Tactilely discriminates shapes
bsid_fm50	bsid_fm50	by3fmd050	by3fmd050	by3fmd050	by3fmd050	fm50	fm50	BSID			Builds wall
bsid_fm51	bsid_fm51	by3fmd051	by3fmd051	by3fmd051	by3fmd051	fm51	fm51	BSID			Cuts paper
bsid_fm52	bsid_fm52	by3fmd052	by3fmd052	by3fmd052	by3fmd052	fm52	fm52	BSID			Builds bridge
bsid_fm53	bsid_fm53	by3fmd053	by3fmd053	by3fmd053	by3fmd053	fm53	fm53	BSID			Imitates plus sign
bsid_fm54	bsid_fm54	by3fmd054	by3fmd054	by3fmd054	by3fmd054	fm54	fm54	BSID			Block stacking Series: 8 blocks
