row	code	label	gsed	gsed2	p1	p2	instrument	domain	mode	number
159	Ma_SF_C004	Does your child cry when he/she is hungry, wet, tired, or wants to be held?	gsdlac001	gpalac001	sf1	__c	gs1	lg	c	4
160	Ma_SF_C005	Does your child grasp your finger if you touch her hand?	gsdfmc003	gpafmc003	sf1	__c	gs1	mo	c	5
161	Ma_SF_C006	Does your child look at and focus on objects in front of him/her?	gsdcgc002	gpacgc002	sf1	__c	gs1	cg	c	6
162	Ma_SF_C007	Does your child bring his/her hand to his/her mouth?	cromoc007	gpamoc011	sf1	__c	gs1	mo	c	7
163	Ma_SF_C008	Does your child try to move his/her head (or eyes) to follow an object or person?	iyomoc001	gpamoc005	sf1	__c	gs1	mo	c	8
164	Ma_SF_C009	Does your child smile when you smile or talk with him/her?	iyosec004	gpasec010	sf1	__c	gs1	se	c	9
165	Ma_SF_C010	Does your child look at a person when that person starts talking or making noise? 	croclc001	gpaclc007	sf1	__c	gs1	lg	c	10
166	Ma_SF_C011	Does your child stop crying or calm down when you come to the room after being out of sight, or when you pick him or her up?	iyosec001	gpasec016	sf1	__c	gs1	se	c	11
167	Ma_SF_C012	When you talk to your child, does he/she smile, make noises, or move arms, legs or trunk in response?	iyolgc002	gpalgc012	sf1	__c	gs1	lg	c	12
168	Ma_SF_C013	When you are about to pick up your child, does he/she act happy or excited?	iyosec002	gpasec014	sf1	__c	gs1	se	c	13
169	Ma_SF_C014	Does your child turn his/her head towards your voice or some noise?	iyolgc001	gpalgc021	sf1	__c	gs1	lg	c	14
170	Ma_SF_C015	Does your child grasp onto a small object (e.g., your finger, a spoon) when put in his/her hand? 	cromoc006	gpamoc026	sf1	__c	gs1	mo	c	15
171	Ma_SF_C016	Does your child make sounds other than crying?	gsdlac004	gpalac009	sf1	__c	gs1	lg	c	16
172	Ma_SF_C017	Does your child sometimes suck his/her thumb or fingers? 	crosec004	gpasec020	sf1	__c	gs1	se	c	17
173	Ma_SF_C018	While your child is on his/her back, can he/she bring his/her hands together such that hands touch each other ?	iyomoc002	gpamoc017	sf1	__c	gs1	mo	c	18
174	Ma_SF_C019	Does your child move excitedly, kick legs, move arms or trunk, or make coo noises when a known person enters the room or speaks to them?	iyosec005	gpasec025	sf1	__c	gs1	se	c	19
175	Ma_SF_C020	Does your child make noise or gesture to get your attention?	iyolgc005	gpalgc019	sf1	__c	gs1	lg	c	20
